,T2M_MEAN,T2M_MAX,T2M_MIN,PREC,WS2M,RH2M,SW_DWN,TEMP_RANGE,HEAT_INDEX,LABEL
2021-12-10,20.16,29.11,13.65,0.33,2.15,67.98,8.3314,15.459999999999999,13.704768000000001,0
2021-12-11,23.13,32.65,13.16,0.09,1.62,57.16,8.5217,19.49,13.221108,1
2021-12-12,25.27,34.41,18.18,0.48,2.37,53.42,6.3864,16.229999999999997,13.499234,1
2021-12-13,24.29,29.71,19.67,7.65,1.3,72.36,4.1664,10.04,17.576244,1
2021-12-14,23.75,28.47,20.43,16.68,1.61,80.49,3.8623,8.04,19.116374999999998,1
2021-12-15,23.22,26.78,20.27,14.95,1.42,85.57,2.9882,6.510000000000002,19.869353999999998,1
2021-12-16,23.52,27.29,20.51,21.08,1.81,85.31,4.7098,6.779999999999998,20.064912,1
2021-12-17,22.72,27.81,19.16,13.88,3.4,85.42,3.7879,8.649999999999999,19.407424,1
2021-12-18,21.03,26.41,16.97,2.81,4.3,83.77,5.1024,9.440000000000001,17.616831,1
2021-12-19,19.13,24.86,15.16,0.53,3.84,79.24,5.8032,9.7,15.158612,1
2021-12-20,20.21,27.37,14.81,0.27,2.64,77.55,7.9008,12.56,15.672855,0
2021-12-21,22.61,30.33,16.13,0.01,1.23,71.07,7.6159,14.2,16.068927,1
2021-12-22,23.71,31.08,16.91,4.59,2.83,71.16,5.9628,14.169999999999998,16.872036,1
2021-12-23,19.91,26.17,14.84,3.43,3.83,77.75,4.5346,11.330000000000002,15.480025,1
2021-12-24,19.11,25.86,14.81,1.69,3.87,78.04,5.7751,11.049999999999999,14.913444000000002,1
2021-12-25,20.19,28.25,13.92,0.15,2.32,72.38,7.5106,14.33,14.613522000000001,0
2021-12-26,23.07,31.82,14.63,0.29,1.76,62.93,8.335,17.189999999999998,14.517951,1
2021-12-27,23.9,30.75,17.83,6.75,1.53,65.89,5.3467,12.920000000000002,15.74771,1
2021-12-28,22.64,29.59,18.12,7.85,1.68,75.57,4.1328,11.469999999999999,17.109047999999998,1
2021-12-29,21.54,27.42,17.83,3.18,1.93,81.1,5.9647,9.590000000000003,17.468939999999996,0
2021-12-30,20.41,23.81,17.53,18.8,1.87,85.41,2.7715,6.279999999999998,17.432181,1
2021-12-31,21.14,24.56,17.72,24.47,1.33,86.88,3.3938,6.84,18.366432,1
2022-01-01,21.52,25.87,18.08,9.98,2.39,84.79,4.3421,7.790000000000003,18.246808,1
2022-01-02,22.64,26.08,19.67,4.81,2.1,81.88,5.4254,6.409999999999997,18.537632,0
2022-01-03,22.95,27.97,19.22,10.84,1.2,82.39,4.5466,8.75,18.908504999999998,1
2022-01-04,22.79,27.55,18.72,12.59,2.28,87.39,3.5014,8.830000000000002,19.916180999999998,1
2022-01-05,22.41,25.2,20.25,7.29,3.95,88.97,3.9478,4.949999999999999,19.938177,1
2022-01-06,21.05,24.76,18.77,21.4,3.55,90.97,3.9432,5.990000000000002,19.149185,1
2022-01-07,20.07,24.45,17.81,5.25,3.86,86.77,3.079,6.640000000000001,17.414738999999997,1
2022-01-08,19.54,24.64,16.22,4.46,4.31,85.27,3.426,8.420000000000002,16.661758,1
2022-01-09,18.5,22.34,15.75,5.83,3.75,85.75,2.4643,6.59,15.863750000000001,1
2022-01-10,20.28,25.77,16.7,5.28,2.24,87.15,3.7522,9.07,17.674020000000002,0
2022-01-11,20.83,24.92,17.58,11.51,1.37,87.22,3.1942,7.340000000000003,18.167925999999998,1
2022-01-12,21.55,25.33,18.59,2.67,0.94,84.29,4.0589,6.739999999999998,18.164495000000002,0
2022-01-13,22.3,26.22,18.54,8.9,1.47,85.83,4.9159,7.68,19.14009,1
2022-01-14,23.19,27.7,19.31,3.24,1.55,86.32,4.9466,8.39,20.017608,0
2022-01-15,22.3,25.75,19.95,6.05,1.48,89.38,3.8741,5.800000000000001,19.931739999999998,1
2022-01-16,22.59,26.03,18.7,5.57,1.38,82.88,6.1253,7.330000000000002,18.722592,1
2022-01-17,22.86,27.94,17.92,3.29,2.19,80.24,6.6178,10.02,18.342864,0
2022-01-18,24.16,29.71,18.12,9.44,1.49,77.15,7.3932,11.59,18.63944,1
2022-01-19,23.83,28.4,19.82,7.71,0.92,82.22,7.2804,8.579999999999998,19.593026,1
2022-01-20,24.1,30.03,19.5,8.64,0.92,78.29,7.2722,10.530000000000001,18.867890000000003,1
2022-01-21,23.42,29.77,18.83,1.09,2.18,80.28,7.9267,10.940000000000001,18.801576,0
2022-01-22,22.93,29.82,17.54,0.04,1.72,77.32,7.8238,12.280000000000001,17.729476,0
2022-01-23,24.83,31.41,19.31,0.05,1.81,79.2,6.8405,12.100000000000001,19.66536,1
2022-01-24,24.65,31.37,19.56,0.1,2.04,79.61,6.276,11.810000000000002,19.623865,1
2022-01-25,24.53,30.15,20.06,2.05,1.99,80.57,6.8698,10.09,19.763821,0
2022-01-26,24.24,29.36,20.07,4.39,2.14,80.93,7.3205,9.29,19.617432,0
2022-01-27,24.83,30.2,20.21,8.14,3.09,77.24,7.3985,9.989999999999998,19.178691999999998,1
2022-01-28,21.94,25.31,18.97,25.76,2.48,88.28,3.4949,6.34,19.368632,1
2022-01-29,20.85,24.75,18.42,63.8,1.41,90.18,2.4859,6.329999999999998,18.80253,1
2022-01-30,21.33,25.34,18.91,19.36,2.91,88.76,2.4972,6.43,18.932508,1
2022-01-31,21.66,25.43,19.03,11.14,3.76,88.3,3.0204,6.399999999999999,19.12578,1
2022-02-01,22.5,27.06,19.48,10.53,2.5,86.24,3.9146,7.579999999999998,19.404,1
2022-02-02,21.48,25.14,18.67,15.9,1.42,87.2,3.0113,6.469999999999999,18.73056,1
2022-02-03,22.2,26.53,18.37,4.36,1.05,86.28,4.4513,8.16,19.15416,0
2022-02-04,22.23,25.86,18.92,3.34,2.06,87.35,4.2062,6.939999999999998,19.417904999999998,0
2022-02-05,22.84,26.53,19.48,2.48,2.62,88.37,5.7998,7.050000000000001,20.183708,0
2022-02-06,22.7,26.78,19.85,13.27,2.95,89.46,4.3049,6.93,20.307419999999997,1
2022-02-07,21.22,26.51,17.48,3.38,3.64,86.84,2.6935,9.030000000000001,18.427448000000002,1
2022-02-08,19.89,25.3,15.74,0.51,3.4,84.87,5.4852,9.56,16.880643,1
2022-02-09,18.96,24.8,14.71,0.1,3.2,82.48,6.708,10.09,15.638208000000002,0
2022-02-10,19.7,25.82,14.87,0.05,2.99,83.16,6.6845,10.950000000000001,16.38252,0
2022-02-11,20.35,26.23,16.45,0.18,2.84,85.11,5.089,9.780000000000001,17.319885,0
2022-02-12,20.96,26.89,17.13,0.3,2.82,84.48,5.9414,9.760000000000002,17.707008000000002,0
2022-02-13,21.74,28.02,16.79,0.08,1.65,82.54,6.1315,11.23,17.944195999999998,0
2022-02-14,22.93,29.66,16.42,0.43,1.69,78.91,7.4599,13.239999999999998,18.094063,0
2022-02-15,21.64,27.15,18.18,0.76,2.85,84.76,6.0204,8.969999999999999,18.342064,0
2022-02-16,21.42,27.93,16.29,0.03,2.46,80.03,6.4495,11.64,17.142426,0
2022-02-17,21.81,28.09,16.41,4.36,1.61,79.79,4.8144,11.68,17.402199,0
2022-02-18,20.23,25.5,16.99,3.6,2.1,86.16,4.8919,8.510000000000002,17.430168,0
2022-02-19,21.32,27.19,15.83,0.74,1.21,80.24,6.2004,11.360000000000001,17.107168,0
2022-02-20,22.29,27.41,17.52,4.21,1.51,79.5,6.3564,9.89,17.72055,0
2022-02-21,22.88,28.85,17.13,1.0,1.58,80.05,7.2396,11.720000000000002,18.31544,0
2022-02-22,23.51,30.66,17.91,1.25,1.28,75.45,6.7942,12.75,17.738295,1
2022-02-23,23.13,29.7,17.07,4.08,1.65,80.44,5.5999,12.629999999999999,18.605771999999998,0
2022-02-24,23.33,29.47,19.19,0.29,1.97,81.16,6.653,10.279999999999998,18.934628,0
2022-02-25,23.76,30.67,18.79,0.05,2.44,77.81,6.8645,11.880000000000003,18.487656,1
2022-02-26,22.97,29.95,17.75,0.13,2.04,76.49,7.1779,12.2,17.569753,0
2022-02-27,23.49,29.54,18.33,0.32,1.66,80.1,6.6238,11.21,18.815489999999997,0
2022-02-28,24.49,29.65,19.01,0.07,1.71,73.78,7.0068,10.639999999999997,18.068721999999998,0
2022-03-01,22.81,26.51,20.47,8.59,2.02,82.59,5.5687,6.040000000000003,18.838779000000002,1
2022-03-02,24.46,29.59,19.37,10.16,1.56,74.15,6.7594,10.219999999999999,18.13709,1
2022-03-03,23.98,29.02,19.38,3.42,1.29,77.1,6.4428,9.64,18.48858,0
2022-03-04,22.67,26.2,20.24,10.22,1.21,85.3,5.0383,5.960000000000001,19.33751,1
2022-03-05,23.21,28.51,18.35,6.45,1.16,82.02,6.185,10.16,19.036842,1
2022-03-06,23.8,28.65,18.93,4.2,1.43,77.99,6.5093,9.719999999999999,18.561619999999998,0
2022-03-07,24.1,29.58,18.59,9.21,1.21,78.28,6.2282,10.989999999999998,18.86548,1
2022-03-08,24.02,30.39,18.98,1.93,1.64,79.9,6.5119,11.41,19.19198,1
2022-03-09,23.47,29.31,18.71,4.5,1.54,81.52,6.0874,10.599999999999998,19.132744,0
2022-03-10,22.08,25.16,19.84,23.64,1.53,87.13,5.8886,5.32,19.238304,1
2022-03-11,22.58,26.0,19.48,24.05,1.95,85.35,4.3126,6.52,19.272029999999997,1
2022-03-12,22.05,25.82,19.56,16.47,1.41,88.84,4.5326,6.260000000000002,19.58922,1
2022-03-13,21.58,24.77,19.17,5.21,1.04,88.33,3.8306,5.599999999999998,19.061614,0
2022-03-14,22.36,26.69,18.93,7.29,1.1,86.3,3.2062,7.760000000000002,19.29668,1
2022-03-15,22.22,27.22,19.16,8.53,1.55,88.88,4.0922,8.059999999999999,19.749135999999996,1
2022-03-16,22.81,26.0,20.11,20.41,1.9,86.0,4.3867,5.890000000000001,19.6166,1
2022-03-17,23.45,27.95,19.56,5.42,1.92,84.15,5.4936,8.39,19.733175,0
2022-03-18,24.18,28.97,19.64,0.28,1.26,81.55,5.4317,9.329999999999998,19.71879,0
2022-03-19,22.13,26.31,19.16,5.41,2.37,88.05,4.571,7.149999999999999,19.485464999999998,0
2022-03-20,19.97,23.17,16.95,7.47,4.34,90.66,1.8902,6.220000000000002,18.104802,1
2022-03-21,18.18,22.52,15.82,0.85,4.51,85.48,3.9948,6.699999999999999,15.540264,1
2022-03-22,18.68,24.87,14.73,0.06,3.22,83.27,6.7877,10.14,15.554836,0
2022-03-23,21.26,27.21,15.38,0.02,1.5,80.51,6.2143,11.83,17.116426,0
2022-03-24,22.6,28.1,17.09,0.18,2.52,81.25,6.2496,11.010000000000002,18.3625,0
2022-03-25,23.4,28.3,19.22,1.1,2.51,80.79,5.2723,9.080000000000002,18.90486,0
2022-03-26,22.99,26.97,19.16,1.86,2.22,85.31,4.5386,7.809999999999999,19.612768999999997,0
2022-03-27,22.19,25.15,20.16,6.11,1.36,88.55,2.8294,4.989999999999998,19.649245,1
2022-03-28,21.51,25.28,19.29,6.52,1.85,90.78,4.2053,5.990000000000002,19.526778000000004,1
2022-03-29,21.72,27.04,18.42,2.47,2.24,86.89,4.8602,8.619999999999997,18.872508,0
2022-03-30,22.86,28.32,17.89,0.06,2.03,82.69,5.8306,10.43,18.902934,0
2022-03-31,19.39,22.49,16.19,5.34,3.43,89.65,2.5438,6.299999999999997,17.383135000000003,1
2022-04-01,17.73,21.75,15.7,5.65,4.05,89.4,2.2006,6.050000000000001,15.850620000000001,1
2022-04-02,19.07,23.29,16.37,3.09,3.93,90.15,2.8284,6.919999999999998,17.191605000000003,1
2022-04-03,21.27,26.87,17.66,0.97,2.81,87.48,4.8192,9.21,18.606996,0
2022-04-04,22.78,28.35,18.2,0.74,1.64,84.24,5.5666,10.150000000000002,19.189871999999998,0
2022-04-05,21.95,27.24,18.69,2.4,1.64,87.68,2.9172,8.549999999999997,19.24576,0
2022-04-06,20.45,25.84,17.37,0.56,2.28,86.67,5.095,8.469999999999999,17.724015,0
2022-04-07,20.0,25.78,16.42,0.22,2.28,85.67,4.9358,9.36,17.134,0
2022-04-08,21.89,28.05,16.87,7.98,1.63,84.98,4.8115,11.18,18.602122,1
2022-04-09,22.79,27.73,19.17,2.24,1.27,85.81,4.8931,8.559999999999999,19.556099,0
2022-04-10,21.1,26.36,17.84,0.28,1.91,83.58,5.1024,8.52,17.63538,0
2022-04-11,20.9,26.87,16.83,0.26,1.42,83.89,4.921,10.040000000000003,17.533009999999997,0
2022-04-12,22.11,27.01,17.75,2.25,1.57,82.98,3.8489,9.260000000000002,18.346878,0
2022-04-13,21.98,26.83,18.62,0.18,1.72,87.05,3.0847,8.209999999999997,19.133589999999998,0
2022-04-14,20.0,24.73,14.77,3.92,2.92,87.49,3.0694,9.96,17.497999999999998,0
2022-04-15,15.25,20.77,10.78,0.08,3.02,79.93,5.1994,9.99,12.189325000000002,0
2022-04-16,15.81,20.81,11.62,1.27,2.46,83.13,5.0532,9.19,13.142852999999999,0
2022-04-17,16.08,21.76,12.59,0.63,2.66,84.01,4.591,9.170000000000002,13.508808,0
2022-04-18,17.06,22.95,13.09,0.12,2.63,84.54,4.7208,9.86,14.422524,0
2022-04-19,18.47,24.79,13.96,0.02,1.63,83.42,4.9351,10.829999999999998,15.407674,0
2022-04-20,18.57,24.55,14.64,0.09,1.68,84.16,4.535,9.91,15.628512,0
2022-04-21,18.77,25.19,14.55,0.09,1.21,78.68,5.0964,10.64,14.768236,0
2022-04-22,19.75,26.4,13.84,0.09,1.79,72.39,4.9757,12.559999999999999,14.297025,0
2022-04-23,20.51,26.77,15.93,0.06,3.88,75.55,4.4453,10.84,15.495305,1
2022-04-24,19.86,25.96,15.8,0.13,1.88,84.7,5.129,10.16,16.82142,0
2022-04-25,20.87,28.13,16.13,0.25,1.7,82.28,5.0338,12.0,17.171836,0
2022-04-26,21.31,28.06,16.07,0.13,1.05,81.25,4.9615,11.989999999999998,17.314375,0
2022-04-27,21.96,28.81,15.28,0.05,1.58,72.61,5.2541,13.53,15.945156,0
2022-04-28,22.11,28.84,16.52,0.02,2.09,68.77,5.2567,12.32,15.205046999999999,0
2022-04-29,20.01,25.83,16.79,3.42,2.61,80.71,2.4533,9.04,16.150071,0
2022-04-30,18.94,24.24,15.96,0.72,2.79,85.57,2.3066,8.279999999999998,16.206958,0
2022-05-01,21.45,27.63,16.9,0.28,1.93,77.24,4.6793,10.73,16.56798,0
2022-05-02,21.35,27.34,16.05,0.71,1.29,76.66,3.805,11.29,16.36691,0
2022-05-03,21.24,28.05,15.87,1.07,2.13,76.13,4.2278,12.180000000000001,16.170012,0
2022-05-04,16.65,19.73,11.39,6.2,4.09,81.13,1.5982,8.34,13.508144999999997,1
2022-05-05,15.35,21.86,10.4,1.0,2.88,84.36,2.6798,11.459999999999999,12.94926,0
2022-05-06,15.55,21.59,11.5,0.12,2.45,82.12,3.5592,10.09,12.769660000000002,0
2022-05-07,14.9,22.34,10.29,0.13,2.78,80.28,2.5934,12.05,11.96172,0
2022-05-08,16.56,23.72,11.93,0.13,2.76,83.48,3.0487,11.79,13.824288,0
2022-05-09,17.94,23.88,14.25,0.02,2.47,83.71,4.1412,9.629999999999999,15.017574,0
2022-05-10,17.37,24.5,12.79,0.15,1.31,80.5,4.5523,11.71,13.982850000000001,0
2022-05-11,18.06,24.59,13.33,3.49,2.32,81.87,3.1486,11.26,14.785722,0
2022-05-12,17.26,23.15,14.07,3.28,1.46,85.14,3.252,9.079999999999998,14.695164000000002,0
2022-05-13,17.28,24.36,12.89,0.12,1.61,81.98,4.0258,11.469999999999999,14.166144000000003,0
2022-05-14,18.34,25.83,12.83,3.52,1.35,80.64,4.0699,12.999999999999998,14.789376,0
2022-05-15,18.2,23.99,14.07,1.45,2.48,86.41,2.7581,9.919999999999998,15.726619999999999,0
2022-05-16,16.51,21.39,11.95,0.16,1.38,85.27,2.9131,9.440000000000001,14.078077000000002,0
2022-05-17,12.06,17.88,6.8,0.05,3.41,65.22,4.615,11.079999999999998,7.865532,1
2022-05-18,8.89,15.41,3.76,0.01,5.24,71.15,3.3626,11.65,6.325235,1
2022-05-19,9.36,16.0,5.92,0.49,2.41,84.91,2.124,10.08,7.947575999999999,0
2022-05-20,12.03,19.03,6.52,0.04,1.09,82.13,3.9576,12.510000000000002,9.880238999999998,0
2022-05-21,13.79,21.59,8.86,0.02,1.15,76.35,4.283,12.73,10.528664999999998,0
2022-05-22,14.86,22.88,7.53,0.04,1.4,73.78,4.5478,15.349999999999998,10.963708,0
2022-05-23,15.18,22.82,8.99,0.03,1.28,76.73,4.1916,13.83,11.647614,0
2022-05-24,16.03,24.84,9.35,0.01,1.2,76.87,4.4995,15.49,12.322261000000001,0
2022-05-25,16.42,24.5,9.6,0.06,1.48,73.33,4.5509,14.9,12.040786,0
2022-05-26,16.96,24.3,10.38,0.03,1.56,73.11,4.1707,13.92,12.399456,0
2022-05-27,17.11,24.24,11.35,0.02,1.99,75.01,4.3344,12.889999999999999,12.834211000000002,0
2022-05-28,17.45,25.16,11.84,0.0,1.98,74.37,3.8462,13.32,12.977565,0
2022-05-29,18.43,26.36,12.25,0.02,3.06,70.04,4.4798,14.11,12.908372,0
2022-05-30,18.93,26.62,13.97,8.11,2.69,74.83,1.8725,12.65,14.165318999999998,1
2022-05-31,16.17,18.72,14.55,23.55,2.8,92.62,1.1057,4.169999999999998,14.976654000000002,1
2022-06-01,17.62,23.07,14.57,1.87,1.0,91.23,2.1626,8.5,16.074726000000002,0
2022-06-02,18.91,24.35,15.75,1.06,1.51,89.32,2.0016,8.600000000000001,16.890411999999998,0
2022-06-03,15.55,19.74,13.01,1.88,2.36,90.1,2.0863,6.729999999999999,14.010549999999999,0
2022-06-04,15.27,20.6,12.51,1.17,2.86,87.34,2.9405,8.090000000000002,13.336818000000001,0
2022-06-05,16.21,23.39,11.8,0.13,1.86,84.7,4.091,11.59,13.72987,0
2022-06-06,17.11,23.29,11.55,0.15,1.95,80.91,3.341,11.739999999999998,13.843700999999998,0
2022-06-07,18.75,25.01,13.83,5.41,1.92,77.66,2.6846,11.180000000000001,14.56125,0
2022-06-08,17.3,22.29,14.59,2.63,1.43,89.12,1.5943,7.699999999999999,15.417760000000001,0
2022-06-09,16.98,22.39,13.55,7.42,1.14,88.78,1.8235,8.84,15.074844,1
2022-06-10,16.19,19.95,13.41,5.2,2.02,93.66,2.2301,6.539999999999999,15.163554000000001,0
2022-06-11,14.42,18.53,12.09,0.43,1.5,87.42,2.0174,6.440000000000001,12.605964,0
2022-06-12,11.0,15.86,6.53,0.03,1.13,71.36,3.833,9.329999999999998,7.849600000000001,0
2022-06-13,10.43,17.57,4.97,0.12,1.97,72.96,4.1239,12.600000000000001,7.609727999999999,0
2022-06-14,13.15,19.64,9.03,0.08,2.19,85.76,3.4613,10.610000000000001,11.27744,0
2022-06-15,14.5,21.9,10.03,0.04,1.18,81.24,2.8908,11.87,11.779799999999998,0
2022-06-16,15.71,23.95,9.53,0.05,1.07,75.81,4.182,14.42,11.909751,0
2022-06-17,17.25,25.34,10.05,0.08,2.7,61.75,4.361,15.29,10.651875,0
2022-06-18,14.83,18.41,12.2,1.57,2.9,81.44,1.3404,6.210000000000001,12.077552,0
2022-06-19,14.9,21.07,11.7,0.17,2.15,85.68,2.382,9.370000000000001,12.766320000000002,0
2022-06-20,15.86,22.55,11.48,0.29,1.16,84.5,2.053,11.07,13.4017,0
2022-06-21,18.32,26.17,12.54,0.01,1.65,77.69,3.8554,13.630000000000003,14.232807999999999,0
2022-06-22,18.44,25.88,13.02,0.18,2.73,72.76,3.8095,12.86,13.416944,0
2022-06-23,18.74,26.89,13.05,0.0,2.39,65.58,4.2588,13.84,12.289691999999997,0
2022-06-24,19.05,27.08,13.24,0.09,1.0,59.9,3.9017,13.839999999999998,11.41095,0
2022-06-25,16.52,22.67,12.57,0.02,2.68,77.27,3.0473,10.100000000000001,12.765004,0
2022-06-26,14.99,20.09,12.25,0.21,3.2,84.16,2.4043,7.84,12.615584,0
2022-06-27,15.09,21.33,11.27,0.09,1.99,83.65,2.3746,10.059999999999999,12.622785,0
2022-06-28,16.79,24.55,11.63,0.03,1.9,78.33,3.979,12.92,13.151606999999998,0
2022-06-29,17.05,24.92,11.53,0.17,2.92,78.68,3.833,13.390000000000002,13.414940000000001,0
2022-06-30,15.91,23.49,11.31,0.06,1.16,73.86,3.7601,12.179999999999998,11.751126000000001,0
2022-07-01,16.54,24.88,11.14,0.07,1.15,66.55,3.6072,13.739999999999998,11.00737,0
2022-07-02,18.09,26.95,11.15,0.01,2.19,68.61,4.2091,15.799999999999999,12.411549,0
2022-07-03,18.74,27.5,12.53,0.01,1.44,67.11,4.2384,14.97,12.576414,0
2022-07-04,18.66,27.17,11.74,0.04,1.48,59.02,4.3606,15.430000000000001,11.013132,0
2022-07-05,17.87,26.02,10.65,0.04,1.94,58.49,4.451,15.37,10.452163,0
2022-07-06,17.85,26.33,10.45,0.04,1.58,62.0,3.8174,15.879999999999999,11.067,0
2022-07-07,18.45,26.19,11.89,0.03,2.3,63.68,3.9629,14.3,11.74896,0
2022-07-08,18.05,25.73,12.13,0.03,1.45,67.11,3.485,13.6,12.113355,0
2022-07-09,17.5,25.95,12.31,0.02,1.51,74.61,4.1095,13.639999999999999,13.05675,0
2022-07-10,18.13,25.78,11.21,0.03,2.13,70.37,3.99,14.57,12.758080999999999,0
2022-07-11,18.59,25.89,13.26,0.0,3.46,62.58,4.3608,12.63,11.633622,1
2022-07-12,19.08,26.38,14.41,0.44,4.17,64.94,3.0614,11.969999999999999,12.390551999999998,1
2022-07-13,15.44,19.44,13.25,1.01,2.97,89.43,1.9824,6.190000000000001,13.807992,0
2022-07-14,19.08,27.22,13.94,0.07,2.27,75.7,3.978,13.28,14.443559999999998,0
2022-07-15,19.44,27.02,14.28,0.0,2.89,63.05,3.9677,12.74,12.25692,0
2022-07-16,20.68,28.31,14.8,0.02,4.13,58.87,3.6931,13.509999999999998,12.174316,1
2022-07-17,19.93,27.31,15.0,0.49,2.93,71.33,3.185,12.309999999999999,14.216069,0
2022-07-18,19.01,27.15,14.52,0.33,2.47,80.2,2.8075,12.629999999999999,15.246020000000001,0
2022-07-19,19.53,27.42,14.6,0.14,1.91,77.33,3.7447,12.820000000000002,15.102549,0
2022-07-20,18.48,24.88,15.17,0.19,2.83,82.19,3.3994,9.709999999999999,15.188711999999999,0
2022-07-21,18.5,26.95,13.42,0.06,1.35,75.52,4.4885,13.53,13.9712,0
2022-07-22,18.43,28.01,11.89,0.0,1.13,60.87,4.703,16.12,11.218341,0
2022-07-23,18.43,27.66,12.69,0.03,1.32,57.08,4.6819,14.97,10.519843999999999,0
2022-07-24,18.67,27.96,12.28,0.05,1.26,64.93,4.1016,15.680000000000001,12.122431000000002,0
2022-07-25,18.6,27.82,12.1,0.01,1.24,72.28,4.5943,15.72,13.444080000000001,0
2022-07-26,18.54,27.48,12.59,0.03,1.78,75.4,4.1494,14.89,13.97916,0
2022-07-27,18.47,26.92,12.96,0.01,1.48,73.62,3.9509,13.96,13.597614,0
2022-07-28,19.06,27.04,12.36,0.0,2.44,60.27,4.3589,14.68,11.487461999999999,0
2022-07-29,16.73,23.87,12.05,9.25,3.25,73.22,1.3812,11.82,12.249706,1
2022-07-30,13.27,20.0,8.77,0.63,2.22,77.88,4.1938,11.23,10.334675999999998,0
2022-07-31,15.22,24.84,9.93,0.05,1.52,70.89,4.8324,14.91,10.789458,0
2022-08-01,17.71,26.22,9.74,0.06,1.59,66.2,4.3186,16.479999999999997,11.724020000000001,0
2022-08-02,19.48,27.53,13.51,0.02,1.32,65.1,4.6925,14.020000000000001,12.681479999999999,0
2022-08-03,17.91,27.09,11.01,0.05,1.45,73.53,4.7978,16.08,13.169223,0
2022-08-04,19.39,26.81,13.42,0.0,2.61,63.57,4.0301,13.389999999999999,12.326223,0
2022-08-05,17.94,24.7,13.15,1.61,2.85,70.74,2.7314,11.549999999999999,12.690755999999999,0
2022-08-06,15.59,22.1,11.87,0.84,3.02,83.04,2.5231,10.230000000000002,12.945936,0
2022-08-07,17.52,24.34,13.33,5.62,1.6,81.64,1.1942,11.01,14.303328,1
2022-08-08,16.97,21.68,14.61,5.65,1.38,86.86,1.6476,7.07,14.740142,1
2022-08-09,17.69,22.99,14.74,3.86,1.84,84.62,1.5101,8.249999999999998,14.969278000000003,0
2022-08-10,14.03,16.96,9.83,10.11,5.37,79.44,3.2681,7.130000000000001,11.145432,1
2022-08-11,12.22,16.2,9.52,3.15,3.4,88.12,3.4284,6.68,10.768264000000002,1
2022-08-12,14.43,21.47,10.54,0.17,2.86,79.08,4.6627,10.93,11.411243999999998,0
2022-08-13,16.0,25.65,8.18,0.04,1.59,72.93,5.3095,17.47,11.668800000000001,0
2022-08-14,17.84,26.71,10.41,0.0,1.28,63.56,5.3794,16.3,11.339104,0
2022-08-15,18.51,27.56,11.39,0.01,3.13,56.04,5.4538,16.169999999999998,10.373004000000002,0
2022-08-16,20.73,29.5,13.96,0.06,3.58,55.84,4.0673,15.54,11.575632,1
2022-08-17,20.16,27.15,14.64,0.81,2.58,65.25,1.9632,12.509999999999998,13.154399999999999,0
2022-08-18,21.42,30.03,15.53,0.23,4.18,61.29,2.7293,14.500000000000002,13.128318000000002,1
2022-08-19,10.67,15.33,7.81,2.46,4.4,81.9,1.2314,7.5200000000000005,8.73873,1
2022-08-20,11.44,16.0,7.76,0.07,4.22,75.3,2.0726,8.24,8.61432,1
2022-08-21,13.77,20.22,9.79,0.04,3.03,79.84,3.5633,10.43,10.993967999999999,0
2022-08-22,14.73,21.59,10.94,0.03,3.08,78.07,4.4549,10.65,11.499711,0
2022-08-23,16.31,24.54,10.95,0.12,2.3,76.19,4.8437,13.59,12.426589,0
2022-08-24,17.74,25.89,12.35,0.03,1.95,74.57,4.6402,13.540000000000001,13.228717999999997,0
2022-08-25,18.86,26.44,13.92,0.01,1.57,74.51,3.9379,12.520000000000001,14.052586000000002,0
2022-08-26,19.26,26.86,12.77,0.02,1.21,69.07,3.4742,14.09,13.302882,0
2022-08-27,20.73,29.24,13.33,0.0,1.66,57.95,5.243,15.909999999999998,12.013035,0
2022-08-28,19.66,29.62,12.74,0.84,3.05,62.94,4.567,16.880000000000003,12.374004,0
2022-08-29,12.14,15.59,9.81,2.05,5.15,79.06,2.46,5.779999999999999,9.597884,1
2022-08-30,12.69,18.65,8.72,0.7,4.21,77.18,3.8006,9.929999999999998,9.794142,1
2022-08-31,14.96,24.44,9.73,0.19,3.02,70.9,6.0209,14.71,10.606640000000002,0
2022-09-01,16.77,27.68,7.64,0.05,1.14,61.28,6.2784,20.04,10.276656,0
2022-09-02,20.01,29.86,11.18,0.0,2.53,48.17,6.048,18.68,9.638817000000001,0
2022-09-03,17.51,26.1,11.55,4.84,2.67,66.83,3.2239,14.55,11.701933,0
2022-09-04,12.53,17.1,10.01,4.07,4.24,82.46,2.1905,7.090000000000002,10.332237999999998,1
2022-09-05,15.01,22.42,11.08,1.12,3.34,81.76,2.9849,11.340000000000002,12.272176000000002,1
2022-09-06,16.53,23.59,12.45,7.94,3.06,81.95,3.3658,11.14,13.546335000000001,1
2022-09-07,18.69,26.96,12.47,2.77,2.27,70.95,2.6894,14.49,13.260555000000002,0
2022-09-08,22.04,30.73,14.86,0.05,2.52,56.36,4.7198,15.870000000000001,12.421743999999999,1
2022-09-09,24.25,32.83,16.48,0.0,1.88,51.44,5.5322,16.349999999999998,12.4742,1
2022-09-10,22.14,32.78,13.53,2.2,3.05,61.79,4.3181,19.25,13.680306,1
2022-09-11,14.07,19.99,11.11,1.14,3.89,80.88,2.6208,8.879999999999999,11.379816,1
2022-09-12,17.29,24.36,11.76,2.16,2.35,81.38,2.4218,12.6,14.070602,0
